"Index","deposit.amount"
2019-02-05,2470
2019-02-06,11790
2019-02-07,2578
2019-02-08,8895
2019-02-11,18886
2019-02-12,2789
2019-02-13,8190
2019-02-14,2683
2019-02-15,10454
2019-02-19,30503
2019-02-20,5666
2019-02-21,10456
2019-02-22,9325
2019-02-25,22306
2019-02-26,3695
2019-02-27,9606
2019-02-28,5036
2019-03-01,29360
2019-03-04,21823
2019-03-05,2712
2019-03-06,11991
2019-03-07,3683
2019-03-08,10456
2019-03-11,26780
2019-03-12,3247
2019-03-13,8458
2019-03-14,3786
2019-03-15,11736
2019-03-18,35799
2019-03-19,2508
2019-03-20,10849
2019-03-21,3145
2019-03-22,8305
2019-03-25,19151
2019-03-26,2762
2019-03-27,9112
2019-03-28,2698
2019-03-29,9294
2019-04-01,32375
2019-04-02,5853
2019-04-03,11944
2019-04-04,2468
2019-04-05,8668
2019-04-08,17541
2019-04-09,2586
2019-04-10,8812
2019-04-11,4119
2019-04-12,7439
2019-04-15,19475
2019-04-16,6350
2019-04-17,13427
2019-04-18,5559
2019-04-19,11746
2019-04-22,16691
2019-04-23,1993
2019-04-24,8047
2019-04-25,2245
2019-04-26,6857
2019-04-29,15624
2019-04-30,4003
2019-05-01,23434
2019-05-02,6955
2019-05-03,11752
2019-05-06,16438
2019-05-07,2310
2019-05-08,8543
2019-05-09,2198
2019-05-10,6495
2019-05-13,14539
2019-05-14,1805
2019-05-15,12122
2019-05-16,12321
2019-05-17,8746
2019-05-20,16837
2019-05-21,2357
2019-05-22,10329
2019-05-23,2984
2019-05-24,6619
2019-05-28,15597
2019-05-29,3206
2019-05-30,7811
2019-05-31,9958
2019-06-03,35521
2019-06-04,3179
2019-06-05,10430
2019-06-06,3029
2019-06-07,6336
2019-06-10,14780
2019-06-11,2680
2019-06-12,8881
2019-06-13,2586
2019-06-14,9234
2019-06-17,34872
2019-06-18,2395
2019-06-19,10071
2019-06-20,2857
2019-06-21,6702
2019-06-24,14867
2019-06-25,2195
2019-06-26,9679
2019-06-27,3279
2019-06-28,10232
2019-07-01,32248
2019-07-02,6302
2019-07-03,12808
2019-07-05,6881
2019-07-08,15117
2019-07-09,1924
2019-07-10,8934
2019-07-11,2802
2019-07-12,7633
2019-07-15,19295
2019-07-16,11511
2019-07-17,8569
2019-07-18,2293
2019-07-19,8298
2019-07-22,14951
2019-07-23,2075
2019-07-24,7780
2019-07-25,2512
2019-07-26,8062
